id,nome,preco,taxa
1,Eletronico 1,4265.27,0.11
2,Eletronico 2,1092.71,0.09
3,Eletronico 3,2128.71,0.18
4,Eletronico 4,1097.47,0.14
5,Eletronico 5,3693.82,0.11
6,Eletronico 6,2332.22,0.06
7,Eletronico 7,314.18,0.15
8,Eletronico 8,2137.33,0.07
9,Eletronico 9,4740.07,0.12
10,Eletronico 10,3159.03,0.17
11,Eletronico 11,217.63,0.09
12,Eletronico 12,4630.02,0.13
13,Eletronico 13,2172.78,0.15
14,Eletronico 14,3610.41,0.05
15,Eletronico 15,4877.49,0.08
16,Eletronico 16,2339.85,0.06
17,Eletronico 17,1365.58,0.11
18,Eletronico 18,1047.56,0.05
19,Eletronico 19,4469.15,0.1
20,Eletronico 20,2974.94,0.08
21,Eletronico 21,4232.58,0.12
22,Eletronico 22,482.34,0.19
23,Eletronico 23,3817.41,0.13
24,Eletronico 24,1108.32,0.16
25,Eletronico 25,354.84,0.09
26,Eletronico 26,4777.14,0.09
27,Eletronico 27,204.5,0.06
28,Eletronico 28,304.99,0.16
29,Eletronico 29,2875.29,0.07
30,Eletronico 30,4297.45,0.14
31,Eletronico 31,1014.42,0.13
32,Eletronico 32,1477.33,0.13
33,Eletronico 33,3549.92,0.15
34,Eletronico 34,59.98,0.07
35,Eletronico 35,2727.96,0.13
36,Eletronico 36,1521.82,0.13
37,Eletronico 37,2362.59,0.05
38,Eletronico 38,2613.51,0.13
39,Eletronico 39,1680.82,0.17
40,Eletronico 40,2113.96,0.06
41,Eletronico 41,3259.01,0.17
42,Eletronico 42,1094.22,0.11
43,Eletronico 43,449.34,0.06
44,Eletronico 44,1748.53,0.07
45,Eletronico 45,3850.85,0.13
46,Eletronico 46,531.78,0.11
47,Eletronico 47,3618.29,0.2
48,Eletronico 48,2676.01,0.17
49,Eletronico 49,1247.83,0.09
50,Eletronico 50,3992.54,0.07
51,Eletronico 51,2986.76,0.14
52,Eletronico 52,2961.38,0.19
53,Eletronico 53,2508.42,0.13
54,Eletronico 54,3201.74,0.12
55,Eletronico 55,2026.2,0.11
56,Eletronico 56,1390.3,0.19
57,Eletronico 57,2710.49,0.14
58,Eletronico 58,869.79,0.09
59,Eletronico 59,4667.89,0.13
60,Eletronico 60,4708.09,0.18
61,Eletronico 61,2359.03,0.2
62,Eletronico 62,889.24,0.07
63,Eletronico 63,653.07,0.19
64,Eletronico 64,4023.95,0.14
65,Eletronico 65,4014.79,0.16
66,Eletronico 66,455.18,0.18
67,Eletronico 67,4158.16,0.14
68,Eletronico 68,153.85,0.06
69,Eletronico 69,2177.8,0.12
70,Eletronico 70,2399.12,0.07
71,Eletronico 71,4809.44,0.18
72,Eletronico 72,4304.99,0.16
73,Eletronico 73,1230.63,0.14
74,Eletronico 74,1620.73,0.05
75,Eletronico 75,4730.09,0.09
76,Eletronico 76,367.45,0.19
77,Eletronico 77,1016.48,0.14
78,Eletronico 78,444.33,0.11
79,Eletronico 79,1901.89,0.15
80,Eletronico 80,3061.41,0.15
81,Eletronico 81,4353.3,0.14
82,Eletronico 82,183.79,0.06
83,Eletronico 83,1303.19,0.1
84,Eletronico 84,3981.77,0.07
85,Eletronico 85,3570.48,0.08
86,Eletronico 86,395.8,0.06
87,Eletronico 87,478.85,0.16
88,Eletronico 88,4427.49,0.09
89,Eletronico 89,4108.69,0.14
90,Eletronico 90,1369.14,0.05
91,Eletronico 91,3674.29,0.09
92,Eletronico 92,4508.68,0.15
93,Eletronico 93,918.39,0.19
94,Eletronico 94,4598.88,0.15
95,Eletronico 95,2353.61,0.11
