id,titulo,isbn,preco
1,Livro 1,3478611214690,3186.94
2,Livro 2,1372022868486,788.75
3,Livro 3,5067460566242,3461.62
4,Livro 4,8569813776196,1143.13
5,Livro 5,7249440479078,523.62
6,Livro 6,0485040860445,3508.54
7,Livro 7,5896453124448,2224.09
8,Livro 8,4630686390121,1527.57
9,Livro 9,7268383612706,2684.2
10,Livro 10,1452735643618,1850.43
11,Livro 11,1528850586732,4013.28
12,Livro 12,2334934001619,2055.12
13,Livro 13,7639308366065,1280.9
14,Livro 14,8578438542129,4824.99
15,Livro 15,4620624517469,867.49
16,Livro 16,7474972358865,3379.6
17,Livro 17,5921650419867,2564.8
18,Livro 18,7481685902488,2247.12
19,Livro 19,6926364865189,1323.33
20,Livro 20,3689370173675,461.46
21,Livro 21,4462416142812,2679.38
22,Livro 22,8366608219490,2061.61
23,Livro 23,0883192249947,4843.39
24,Livro 24,2536348309393,1861.92
25,Livro 25,5883425612983,3300.74
26,Livro 26,6273938107224,4869.17
27,Livro 27,1380996222397,2768.91
28,Livro 28,4958934442454,3316.96
29,Livro 29,7835376608633,2744.03
30,Livro 30,5159946052252,116.92
31,Livro 31,1362249961540,1288.49
32,Livro 32,5807971818726,1910.64
33,Livro 33,6683945976321,1600.37
34,Livro 34,8714252799112,584.6
35,Livro 35,1346278606937,3401.57
36,Livro 36,5604147286095,4366.6
37,Livro 37,9927752328449,3060.59
38,Livro 38,6617918811792,4736.71
39,Livro 39,5502075931577,3866.64
40,Livro 40,6667771460204,924.78
41,Livro 41,3444158856558,2258.73
42,Livro 42,7009639056203,4198.5
43,Livro 43,3775647113546,3718.12
44,Livro 44,8170982745844,2141.73
45,Livro 45,0463160443314,1832.74
46,Livro 46,2094607202415,260.52
47,Livro 47,2109401377081,4323.22
48,Livro 48,7772719290578,1262.17
49,Livro 49,5223757647682,3127.46
50,Livro 50,6008695711320,3230.66
51,Livro 51,4608760512359,2581.58
52,Livro 52,9858091422904,1207.29
53,Livro 53,2083889399316,745.45
54,Livro 54,3885355863386,3384.97
55,Livro 55,9086687282381,4705.7
56,Livro 56,4726525542294,2384.51
57,Livro 57,9111973610254,1678.32
