id,titulo,isbn,preco
1,Livro 1,5637024055658,65.4
2,Livro 2,266967941760,58.27
3,Livro 3,7176862643724,171.63
4,Livro 4,4409465060864,25.82
5,Livro 5,255545394963850,176.15
6,Livro 6,8850611475933,22.25
7,Livro 7,7699876042704,290.06
8,Livro 8,5628655659820,109.72
9,Livro 9,063689012810412,137.64
10,Livro 10,ddzQcqCuYlBhz,115.17
11,Livro 11,9273367178054,240.26
12,Livro 12,430757449527178,263.16
13,Livro 13,,126.32
14,Livro 14,6086710839584,218.81
15,Livro 15,5627358430710,259.49
16,Livro 16,9400599000742,172.96
17,Livro 17,9792562500942,29.09
18,Livro 18,5748196196505,263.72
19,Livro 19,,47.54
20,Livro 20,039613786382,159.53
21,Livro 21,,165.21
22,Livro 22,2224152154124,226.99
23,Livro 23,653254874487,240.54
24,Livro 24,0273964972695,135.14
25,Livro 25,9092765529711,122.6
26,Livro 26,3777669325377,168.33
27,Livro 27,QkKOJCkBKJvlw,111.57
28,Livro 28,,43.52
29,Livro 29,0589845034074,273.72
30,Livro 30,,104.35
31,Livro 31,3081806979593,54.74
32,Livro 32,4900807585524,62.03
33,Livro 33,007049342828514,298.12
34,Livro 34,454217170191144,227.07
35,Livro 35,1711839989073,80.46
36,Livro 36,9185059777991,195.37
37,Livro 37,9424483376756,281.21
38,Livro 38,8422971679216,188.35
39,Livro 39,,61.39
40,Livro 40,,24.38
41,Livro 41,4865285041049,251.19
42,Livro 42,aRNqxlvrbotKA,258.25
43,Livro 43,,287.16
44,Livro 44,4471588210404,149.03
45,Livro 45,3069652603962,135.49
46,Livro 46,4088067945307,88.39
47,Livro 47,6940461902224,272.42
48,Livro 48,8268544248,119.64
49,Livro 49,AhFAptqTOpQbX,234.79
50,Livro 50,1138173051309,169.0
51,Livro 51,5278776629177,201.15
52,Livro 52,890918155893765,209.75
53,Livro 53,OTlQjGwgtNpPV,233.66
54,Livro 54,4056858077649,128.9
55,Livro 55,8829859354413,42.03
56,Livro 56,225559932303679,265.12
57,Livro 57,9512165358559,143.6
58,Livro 58,4439272834007,218.62
59,Livro 59,8479862277875,102.89
60,Livro 60,8786727208761,118.2
61,Livro 61,5599672379953,46.97
62,Livro 62,5353664882556,213.31
63,Livro 63,8590678447531,42.83
64,Livro 64,1333833673861,263.41
65,Livro 65,7786181666105,18.7
66,Livro 66,8027055864812,167.44
67,Livro 67,DIRJRmBTLOTlT,119.24
68,Livro 68,8482434046622,282.52
69,Livro 69,8273835851952,107.7
70,Livro 70,cAIQfOHIAgdUc,216.41
71,Livro 71,,27.95
72,Livro 72,8668382523588,219.67
73,Livro 73,9168598381320,100.95
74,Livro 74,,295.7
75,Livro 75,5954172942821,81.32
76,Livro 76,49215484301,271.97
77,Livro 77,4541343901251,43.66
78,Livro 78,,223.27
79,Livro 79,HfFyZmTCHMmzy,110.64
80,Livro 80,7096281554311,47.36
81,Livro 81,2197823343098,296.87
82,Livro 82,3389930095669,51.33
83,Livro 83,3062302453579,289.55
84,Livro 84,5487260942,158.68
85,Livro 85,1873123305049,78.4
86,Livro 86,9205726964490,128.29
87,Livro 87,7608687099997,259.6
88,Livro 88,024944826165,159.61
89,Livro 89,3365329070818,112.94
90,Livro 90,110440848438,145.86
91,Livro 91,475123628197,176.23
92,Livro 92,6384419828520,36.86
93,Livro 93,0613375596375,280.87
94,Livro 94,4084505357239,30.11
95,Livro 95,4680213620896,240.75
96,Livro 96,,288.17
97,Livro 97,IttHcuxLDbRQa,79.53
98,Livro 98,5365329639506,125.81
99,Livro 99,8079429974572,202.42
100,Livro 100,3548876484366,180.57
101,Livro 101,,18.9
102,Livro 102,44332987275,96.79
103,Livro 103,6201019548224,241.79
104,Livro 104,0342372455965,16.8
105,Livro 105,7724696169519,249.53
106,Livro 106,8165119022774,274.24
107,Livro 107,,229.37
108,Livro 108,5020733194051,53.28
109,Livro 109,,181.09
110,Livro 110,224093166649219,172.14
111,Livro 111,2480207825701,126.79
112,Livro 112,4575877240935,212.17
113,Livro 113,7434385509468,254.45
114,Livro 114,3934992629,83.22
115,Livro 115,2510646771105,134.05
116,Livro 116,6577439358194,59.31
117,Livro 117,9460003083901,102.96
118,Livro 118,353531877250453,159.67
119,Livro 119,1602384451334,41.21
120,Livro 120,0932505090228,192.21
121,Livro 121,0962388335515,51.55
122,Livro 122,1172253652421,38.76
123,Livro 123,89637629182,43.32
124,Livro 124,4142977119030,255.96
125,Livro 125,9144274764216,144.0
126,Livro 126,0764468953121,19.99
127,Livro 127,2420676257413,136.77
128,Livro 128,4503983220708,141.83
129,Livro 129,0159322277794,21.02
130,Livro 130,1736357028138,202.16
131,Livro 131,4550470615612,108.73
132,Livro 132,,72.03
133,Livro 133,3048260223399,158.0
134,Livro 134,4472975449110,18.68
135,Livro 135,6985114434520,121.91
136,Livro 136,0451031328470,109.81
137,Livro 137,,16.24
138,Livro 138,6498231336879,91.15
139,Livro 139,7060881800819,136.23
140,Livro 140,UKgdufHQIBaxz,205.32
141,Livro 141,0495443443049,37.67
142,Livro 142,8259323321644,127.46
143,Livro 143,3188108653296,163.51
144,Livro 144,7143721859617,81.04
145,Livro 145,,118.53
146,Livro 146,0320698419576,42.18
147,Livro 147,080600588511,178.11
148,Livro 148,gjykseiqswpHC,229.05
149,Livro 149,7775469251595,258.2
150,Livro 150,1289120941685,116.02
151,Livro 151,2278934644850,25.82
152,Livro 152,9474255705197,157.76
153,Livro 153,,164.16
154,Livro 154,2861522044023,93.45
155,Livro 155,0314320981403,106.79
156,Livro 156,8890885913018,115.27
157,Livro 157,mhXjNcXBEDvEi,183.86
158,Livro 158,,38.03
159,Livro 159,WIprQBgGzSLdR,50.48
160,Livro 160,3586116458946,223.8
161,Livro 161,USUdsaatGIluH,10.01
162,Livro 162,,25.61
163,Livro 163,5254813629187,54.58
164,Livro 164,2714802487748,206.09
165,Livro 165,4918349892187,145.75
166,Livro 166,7785801854945,135.49
167,Livro 167,5294029514447,274.48
168,Livro 168,,11.56
169,Livro 169,9518921512449,20.15
170,Livro 170,9919630463552,154.86
171,Livro 171,3221311095,105.55
172,Livro 172,6334783120544,115.09
173,Livro 173,,168.05
174,Livro 174,5699671398988,212.5
175,Livro 175,7007275518225,19.86
176,Livro 176,,209.14
177,Livro 177,7542984121691,174.64
178,Livro 178,9591565021027,289.21
179,Livro 179,0349864371517,254.51
180,Livro 180,0712435619441,51.63
181,Livro 181,1819766705309,181.76
182,Livro 182,7833683948085,134.07
183,Livro 183,3285004957445,70.34
184,Livro 184,10424838532,151.59
185,Livro 185,,32.23
186,Livro 186,3615945846819,238.63
187,Livro 187,,99.69
188,Livro 188,jZmMHVOIGZZtn,120.26
189,Livro 189,5054001843030,76.9
190,Livro 190,8488355859638,75.92
191,Livro 191,0598370618968,14.4
192,Livro 192,03933941503,98.77
193,Livro 193,6200212822780,270.45
194,Livro 194,0016933832890,174.66
195,Livro 195,7697528267251,41.99
196,Livro 196,0700810997819,34.85
197,Livro 197,48566120287,279.72
198,Livro 198,4925931029534,71.44
199,Livro 199,0072168141136,120.23
200,Livro 200,1923643983200,250.22
201,Livro 201,5080995961430,212.6
202,Livro 202,7517510484016,211.56
203,Livro 203,0378999585473,147.64
204,Livro 204,0260051147176,139.4
205,Livro 205,9079584742140,50.07
206,Livro 206,3985470942669,258.94
207,Livro 207,21790362845,45.47
208,Livro 208,8517833581068,207.53
209,Livro 209,1239020418636,202.53
210,Livro 210,8628059179252,275.92
211,Livro 211,9082911796908,166.33
212,Livro 212,4215353818930,74.93
213,Livro 213,5637904763061,178.72
214,Livro 214,3035270887781,201.93
215,Livro 215,6022386471013,222.62
216,Livro 216,1580626847683,102.01
217,Livro 217,6670612130078,266.43
218,Livro 218,4082891545475,298.58
219,Livro 219,,134.4
220,Livro 220,2341418186608,257.34
221,Livro 221,0513943954312,102.58
222,Livro 222,xznMjFSyumukM,60.21
223,Livro 223,2625546243060,179.4
224,Livro 224,2888936127011,289.56
225,Livro 225,1017570593765,50.53
226,Livro 226,9448915604848,151.74
227,Livro 227,2911386417149,169.68
228,Livro 228,6594533388142,42.06
229,Livro 229,468054414358358,178.25
230,Livro 230,4000642915691,61.6
231,Livro 231,9307133879283,96.39
232,Livro 232,3768089021577,285.96
233,Livro 233,,139.18
234,Livro 234,6408259306097,245.89
235,Livro 235,,82.96
236,Livro 236,4120827976701,184.23
237,Livro 237,yejKLoHRdBpLD,180.47
238,Livro 238,3151147654064,50.23
239,Livro 239,,184.03
240,Livro 240,1864218609918,241.49
241,Livro 241,1523967599796,136.68
242,Livro 242,7278757169531,140.36
243,Livro 243,6574930464038,251.27
244,Livro 244,958791381017648,279.23
245,Livro 245,9515213280012,239.01
246,Livro 246,3339464764639,245.29
247,Livro 247,GPuOkbrwsxAer,41.92
248,Livro 248,7756308524470,225.86
249,Livro 249,3709637032590,278.3
