id,descricao,tamanho,preco
1,Roupa 1,P,4680.53
2,Roupa 2,G,1903.0
3,Roupa 3,GG,1998.83
4,Roupa 4,PP,4989.9
5,Roupa 5,P,4881.65
6,Roupa 6,P,1043.62
7,Roupa 7,PP,2989.25
8,Roupa 8,GG,3561.55
9,Roupa 9,PP,970.36
10,Roupa 10,G,2050.22
11,Roupa 11,PP,1055.09
12,Roupa 12,PP,3533.37
13,Roupa 13,M,861.98
14,Roupa 14,M,1262.54
15,Roupa 15,GG,4246.05
16,Roupa 16,M,3548.68
17,Roupa 17,PP,3017.01
18,Roupa 18,GG,1991.48
19,Roupa 19,GG,4661.5
20,Roupa 20,PP,3119.1
21,Roupa 21,P,579.46
22,Roupa 22,M,3830.58
23,Roupa 23,PP,4348.1
24,Roupa 24,P,2597.16
25,Roupa 25,P,516.86
26,Roupa 26,P,2421.29
27,Roupa 27,PP,2892.69
28,Roupa 28,GG,870.9
29,Roupa 29,P,3633.85
30,Roupa 30,PP,3206.89
31,Roupa 31,G,2547.49
32,Roupa 32,G,4069.18
33,Roupa 33,G,2684.65
34,Roupa 34,M,2443.38
35,Roupa 35,PP,1892.24
36,Roupa 36,G,4442.09
37,Roupa 37,G,4629.82
38,Roupa 38,G,4533.49
39,Roupa 39,P,392.0
40,Roupa 40,G,887.28
41,Roupa 41,PP,4140.84
42,Roupa 42,G,3324.31
43,Roupa 43,GG,3734.6
44,Roupa 44,GG,3676.02
45,Roupa 45,PP,1339.6
46,Roupa 46,P,1754.33
47,Roupa 47,P,4854.4
48,Roupa 48,P,1451.96
49,Roupa 49,GG,4154.93
50,Roupa 50,G,1706.47
51,Roupa 51,PP,1469.19
52,Roupa 52,M,3533.82
53,Roupa 53,G,4673.73
54,Roupa 54,G,4786.43
55,Roupa 55,PP,4196.65
56,Roupa 56,PP,3826.42
57,Roupa 57,GG,1470.82
58,Roupa 58,PP,846.34
59,Roupa 59,G,3809.07
60,Roupa 60,M,4982.13
61,Roupa 61,PP,1486.95
62,Roupa 62,P,865.34
63,Roupa 63,G,345.99
64,Roupa 64,M,447.85
65,Roupa 65,G,500.9
66,Roupa 66,P,636.68
67,Roupa 67,PP,2552.11
68,Roupa 68,G,2048.9
69,Roupa 69,GG,2181.58
70,Roupa 70,PP,3832.26
71,Roupa 71,G,2944.42
72,Roupa 72,M,2918.04
73,Roupa 73,M,4687.14
